2025-02,2호선,0204,을지로4가,4,0,"1,009",859,"2,066","11,937","5,319","32,765","10,752","71,839","11,614","35,625","14,807","22,721","17,483","22,566","18,209","20,426","19,867","20,333","22,544","19,000","25,299","18,058","31,669","17,194","57,330","17,937","65,899","18,015","27,448","12,438","17,113","9,280","14,473","8,805","9,889","8,544","4,485","5,113",845,"1,550",5,14,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0205,동대문역사문화공원(DDP),193,37,"4,411",946,"3,575","7,841","5,551","16,432","11,362","40,332","13,171","29,961","14,589","28,707","16,603","28,746","19,837","28,595","21,836","29,005","25,587","29,649","29,958","27,839","34,646","26,991","44,206","28,302","46,264","33,664","30,589","29,510","23,389","20,791","21,363","16,295","16,975","13,657","8,107","8,082","1,620","2,667",0,63,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0206,신당,37,5,"4,974","1,035","9,592","6,305","27,334","13,230","48,959","27,094","27,320","20,227","18,178","17,243","17,794","19,314","19,791","20,762","21,423","21,381","21,948","22,480","23,344","24,071","25,346","28,101","28,893","38,814","32,608","55,987","22,155","36,751","17,898","22,911","16,494","20,324","15,059","17,811","7,477","10,836","1,421","3,390",0,3,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0207,상왕십리,8,1,"5,270",715,"12,751","5,418","38,163","9,955","61,426","29,052","35,165","17,354","21,304","13,037","19,023","12,454","19,873","14,069","19,954","15,335","18,003","16,676","18,216","19,649","20,037","23,355","23,552","34,010","25,605","54,324","17,368","36,199","11,626","23,609","9,944","21,615","6,467","19,599","2,583","11,774",461,"3,819",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0208,왕십리(성동구청),518,5,"5,179",755,"8,193","7,354","22,999","10,532","41,418","24,797","25,009","19,379","17,252","15,499","18,044","16,575","21,361","18,591","22,288","20,065","20,934","20,618","22,752","21,280","26,437","25,321","31,447","35,677","32,901","54,930","21,719","33,253","20,611","21,342","23,051","18,230","22,672","16,914","12,302","11,136","2,335","4,143",0,4,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0209,한양대,6,1,780,478,"2,316","6,218","4,910","9,761","8,258","32,171","5,833","35,390","5,361","20,083","8,518","12,704","10,753","14,729","11,997","18,287","11,484","13,225","13,684","10,284","22,645","9,305","33,259","9,563","28,398","10,553","13,294","7,454","9,205","5,235","8,558","4,987","7,429","4,771","4,121","3,323","1,007","1,028",0,5,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0210,뚝섬,4,1,"2,737","2,112","7,994","15,574","16,634","38,168","25,128","137,431","15,674","95,894","14,376","43,973","16,490","35,076","21,306","36,142","26,108","38,168","31,616","34,036","38,390","32,837","48,910","33,669","80,522","38,439","133,767","45,913","68,875","27,220","47,107","14,706","40,033","12,294","24,692","10,940","9,828","6,838","1,420","2,251",1,31,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0211,성수,55,4,"4,343","4,151","7,012","32,114","18,758","72,024","26,313","246,880","21,578","157,751","20,282","88,745","25,237","82,032","34,532","89,026","46,270","93,843","60,040","93,803","78,132","89,298","103,679","83,260","161,972","78,880","268,476","76,380","142,985","44,716","108,255","21,806","91,808","16,321","59,529","12,812","21,853","9,961","3,132","4,790",1,819,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0212,건대입구,225,3,"12,508","1,648","19,149","12,915","47,215","21,076","83,284","51,449","58,458","43,961","36,549","38,923","34,797","43,120","40,774","49,553","45,026","55,413","47,170","56,182","51,614","63,005","59,985","72,892","70,464","99,075","81,684","141,650","62,181","99,023","63,524","60,605","68,532","54,429","69,229","46,806","41,555","27,359","6,689","9,883",8,923,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0213,구의(광진구청),33,2,"11,794","1,113","23,606","19,613","62,686","15,932","109,576","38,581","67,851","21,701","36,519","19,588","30,554","20,115","31,902","23,156","32,245","26,197","29,505","28,811","31,038","34,877","38,054","40,901","40,576","56,555","43,558","93,810","24,483","67,601","18,608","44,962","16,765","41,678","14,531","37,445","7,730","20,635","1,348","6,854",1,78,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0214,강변(동서울터미널),19,1,"7,978","1,464","19,756","16,598","60,188","17,976","95,651","35,631","71,908","30,416","57,679","29,464","50,736","29,198","47,149","33,549","44,054","37,108","40,849","41,011","41,897","47,549","44,444","52,359","47,710","63,861","49,660","87,982","32,642","63,413","25,001","44,203","20,708","33,660","12,837","30,028","5,037","16,063",743,"4,326",0,40,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0215,잠실나루,7,1,"3,117","2,975","11,641","17,032","34,010","19,974","43,250","35,827","30,114","22,445","23,115","17,534","22,896","15,303","21,967","18,605","20,456","19,993","21,312","18,196","23,524","18,685","31,626","20,074","37,289","26,682","29,079","37,707","14,438","28,744","9,872","17,403","7,294","16,619","4,959","15,003","2,219","8,075",391,"2,487",0,23,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0216,잠실(송파구청),80,23,"12,250","4,599","45,341","31,238","110,451","76,832","156,626","173,811","114,010","163,713","80,274","123,386","81,820","116,305","92,532","112,208","101,891","116,753","111,623","116,539","129,517","126,457","154,060","140,470","188,759","174,458","231,181","227,308","168,052","152,032","168,543","98,423","144,009","87,602","90,979","76,339","27,393","41,533","4,575","8,908",1,84,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0217,잠실새내,35,1,"5,126",980,"16,371","7,957","53,887","14,996","76,851","29,064","51,049","29,577","33,307","24,449","31,743","25,155","36,014","28,411","35,019","33,222","31,678","35,516","33,966","38,967","36,090","44,601","39,610","59,911","42,123","84,905","30,988","59,694","26,314","36,321","24,944","30,930","23,946","28,313","12,193","15,179","2,029","4,408",0,79,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0218,종합운동장,2,0,"1,390","1,184","5,297","11,366","15,275","10,841","21,347","17,914","15,696","14,479","11,665","10,076","10,521","7,933","11,413","10,179","11,351","11,560","15,213","11,503","13,570","11,000","15,920","12,096","15,823","17,807","14,991","27,403","8,818","16,769","8,286","10,869","10,030","9,822","3,546","9,359","1,610","4,922",297,"1,517",1,86,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0219,삼성(무역센터),105,0,"4,251","5,400","6,003","44,703","13,135","135,520","18,337","316,625","18,986","240,384","22,014","119,692","33,680","81,271","43,983","73,152","58,738","78,626","73,277","65,163","95,640","58,140","124,180","54,610","216,261","58,131","289,684","57,515","153,594","31,150","118,170","17,321","94,860","13,445","60,245","10,628","15,289","5,751","2,133","3,355",1,986,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0220,선릉,109,3,"4,202","5,903","10,178","39,548","20,685","115,155","32,670","274,737","31,503","207,511","35,059","102,957","45,496","65,499","56,128","63,811","64,810","71,497","75,276","58,625","99,158","51,530","127,956","49,841","205,684","55,451","289,313","60,218","147,115","38,642","96,494","23,362","84,174","20,558","67,178","17,544","25,355","10,403","4,153","4,193",0,11,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0221,역삼,18,2,"3,368","6,487","7,976","41,714","14,584","152,867","24,871","361,101","22,789","295,582","23,346","120,600","31,702","64,258","39,151","58,732","47,488","63,731","56,792","50,954","76,536","43,341","101,094","41,262","218,126","49,189","273,527","57,134","158,408","35,864","89,905","22,507","80,912","18,130","52,536","15,090","20,314","9,687","3,601","2,806",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0222,강남,152,8,"7,206","10,034","16,127","50,221","37,746","144,505","60,304","299,674","50,029","321,010","52,842","158,870","70,244","105,738","86,247","103,989","104,263","121,540","115,275","109,274","140,463","100,164","165,423","107,616","243,023","138,951","314,437","178,422","215,693","105,784","165,169","56,836","180,212","44,751","154,862","35,967","72,837","20,904","12,047","5,704",0,1,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0223,교대(법원.검찰청),21,0,"2,421","5,860","9,587","23,640","21,821","50,458","34,440","149,895","26,715","125,670","24,386","68,179","29,157","57,877","33,338","52,665","41,601","55,737","48,176","47,065","51,360","43,338","56,795","45,459","92,312","60,629","130,055","68,812","61,065","39,994","50,564","24,204","49,657","21,513","36,540","20,125","14,973","10,388","2,986","3,044",0,1,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0224,서초,7,1,"1,575","4,818","8,069","21,543","16,646","48,587","26,697","111,729","25,723","85,875","19,638","42,736","27,228","33,938","25,167","26,508","33,067","28,702","34,835","26,125","41,650","20,991","47,514","23,259","72,899","25,636","93,263","27,018","43,305","18,476","29,843","11,528","28,625","10,553","16,368","9,951","5,339","5,515",803,"1,367",2,2,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0225,방배,1,0,"2,124","3,073","7,841","11,410","19,466","23,946","28,517","64,422","21,912","42,440","17,070","23,531","18,101","18,689","20,793","20,535","22,452","21,208","23,001","19,940","24,830","20,510","30,743","21,645","41,733","27,657","56,910","33,837","25,834","23,817","19,594","15,529","18,066","14,507","13,824","14,434","5,659","7,906","1,172","2,432",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0226,사당,113,4,"11,609","3,844","27,367","30,892","75,781","40,985","99,255","65,334","72,308","48,842","47,561","42,042","44,810","54,780","50,916","55,513","55,491","52,621","60,689","52,784","62,135","62,363","63,508","83,928","78,167","125,534","99,114","174,728","67,788","118,411","64,887","71,522","71,135","63,723","66,445","56,567","36,223","33,714","5,973","10,225",4,507,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0227,낙성대(강감찬),41,0,"10,036","1,811","23,567","7,939","76,815","14,526","117,287","37,132","76,944","30,764","42,055","24,238","35,334","22,305","37,852","25,669","38,693","27,543","34,027","30,133","32,618","35,726","35,870","41,639","42,037","56,759","48,293","95,688","26,834","82,102","21,270","53,193","19,378","49,249","15,043","47,277","7,827","28,124","1,292","7,804",1,67,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0228,서울대입구(관악구청),"4,299",21,"24,108","2,214","39,703","12,749","116,941","21,990","167,402","60,915","112,580","57,281","63,798","47,128","55,301","41,974","62,920","46,408","68,929","52,343","58,589","54,018","58,492","62,427","66,368","72,689","73,695","100,161","82,945","159,643","50,756","136,504","43,237","83,351","43,850","76,329","39,304","73,961","19,931","42,067","3,397","16,307",0,"3,279",0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0229,봉천,75,2,"13,048","1,138","24,961","5,382","77,457","10,561","116,585","26,240","70,776","20,666","38,682","18,960","32,019","21,531","35,268","23,817","34,599","26,012","31,010","29,036","29,869","36,195","29,619","42,052","31,418","54,238","32,324","86,775","19,796","72,094","15,803","44,566","13,831","42,161","10,735","37,914","4,642","21,578",900,"7,508",2,252,0,0,0,0,2025-03-03 16:39:16
